date,file,distance,elev,leadtime,spott,spotrh,spotwmax,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdwmax,rtmat,rtmarh,rtmawmax,lat,lon,stnused,squarestemp,squaresrh,squaresws
1205141635,FWS.SLC.20120514.BOXCR.01.20120514.163556.012407179,3,56,20,17.2222222222,13,6.7056,17.8,6,5,19.454095459,14.26,3.1,21.457635498,5.2720555853,3.43932,38.47694,-112.03444,TT084,2,11,2
1205151339,FWS.SLC.20120515.BOXCR.01.20120515.133925.298583217,3,56,381,17.7777777778,12,8.04672,17.2,13,8,20.897454834,10.5,11.2354,21.6834655762,4.8989835682,6.48066,38.47694,-112.03444,TT084,10,1,10
1205161238,FWS.SLC.20120516.BOXCR.01.20120516.123805.407736110,3,56,13,16.1111111111,18,6.25856,16.1,14,5,20.3694091797,14.9,6.7,18.7149291992,10.0653959859,4.96292,38.47694,-112.03444,TT084,10,1,1
1205171212,FWS.SLC.20120517.BOXCR.01.20120517.121248.574241077,3,56,3,17.7777777778,8,11.176,16.7,18,5,21.4693847656,12.82,10.9962,21.4830871582,9.3508607147,6.18833,38.47694,-112.03444,TT084,10,11,21
1205181202,FWS.SLC.20120518.BOXCR.01.20120518.120200.974601026,3,56,8,10.5555555556,27,6.7056,9.4,45,8,13.8151794434,27.12,11.8981,12.6848388672,35.0973744928,8.99661,38.47694,-112.03444,TT084,10,31,10
1205191252,FWS.SLC.20120519.BOXCR.01.20120519.125235.032329758,3,56,13,11.6666666667,18,3.12928,12.8,19,4,15.397454834,17.88,3.25055,15.5102478027,14.2164691746,4.44024,38.47694,-112.03444,TT084,10,1,1
1205261515,FWS.SLC.20120526.BOXCR.03.20120526.151513.999145468,3,56,105,10,20,17.8816,2.2,25,10,9.7460266113,42.3,13.7992,7.1069885254,15.1319612212,8.54139,38.47694,-112.03444,TT084,31,28,16
1205271606,FWS.SLC.20120527.BOXCR.02.20120527.160631.147907149,3,56,9,11.1111111111,21,6.7056,7.8,29,5,12.2075439453,22.14,5.86242,9.5317321777,24.973468374,3.91333,38.47694,-112.03444,TT084,12,11,1
1205281631,FWS.SLC.20120528.BOXCR.01.20120528.163152.458795374,3,56,9,12.2222222222,18,6.7056,13.9,19,4,15.897454834,16.15,2.79618,16.6367431641,11.9371233781,2.81317,38.47694,-112.03444,TT084,2,1,4
1205291342,FWS.SLC.20120529.BOXCR.01.20120529.134230.558282204,3,56,12,16.6666666667,13,5.81152,17.2,12,5,18.9955993652,10.89,5.02071,19.9487243652,6.7759757326,4.44489,38.46028,-112.03444,TT084,2,1,1
1205310957,FWS.SLC.20120530.BOXCR.01.20120531.095706.062574723,3,56,652,15.28,17,4.4704,19.4,23,4,19.55,22.05,2.2977856,22.14,17.97,2.0161504,38.46028,-112.03444,TT084,10,10,2
1206011031,FWS.SLC.20120531.BOXCR.01.20120601.103156.058692803,3,56,551,20.28,19,4.4704,22.2,22,4,22.78,17.44,4.1485312,24.04,18.92,3.7014912,38.46028,-112.03444,TT084,2,1,1
1206051145,FWS.SLC.20120605.BOXCR.01.20120605.114527.330084319,3,56,120,15.5555555556,16,8.9408,17.2,12,9,18.7592102051,14.13,16.0383,19.925012207,10.1664544988,8.82096,38.46028,-112.03444,TT084,2,1,18
1206062014,FWS.SLC.20120606.BOXCR.01.20120606.201448.301368555,3,56,41,12.7777777778,18,6.7056,14.4,19,4,16.4042907715,18.37,5.3459,18.0824523926,12.6481833801,6.65542,38.46028,-112.03444,TT084,2,1,4
1206070053,FWS.SLC.20120606.BOXCR.02.20120607.005341.762412043,3,56,9,15.56,16,8.9408,17.8,13,4,20.35,13,3.84507,21.85,7.39,4.42481,38.46028,-112.03444,TT084,10,1,4
1206081515,FWS.SLC.20120608.BOXCR.01.20120608.151503.647162054,3,56,21,20,11,11.176,20,15,5,22.8955932617,11.62,9.89809,24.0458007813,7.325613466,5.32527,38.46028,-112.03444,TT084,10,1,14
1206091503,FWS.SLC.20120609.BOXCR.01.20120609.150324.992317454,3,56,45,16.6666666667,15,6.7056,18.9,19,8,,,,20.7844787598,14.4365490737,8.29892,38.46028,-112.03444,TT084,,,
1206102113,FWS.SLC.20120610.BOXCR.01.20120610.211324.765154913,3,56,25,13.89,16,5.36448,12.8,12,4,16.05,14.46,6.4954912,14.93,7.79,6.459728,38.46028,-112.03444,TT084,10,1,2
1206112033,FWS.SLC.20120611.BOXCR.01.20120611.203357.381390321,3,56,15,15.56,10,4.4704,17.2,9,4,19.71,12.76,3.598672,20.94,6.92,3.9116,38.46028,-112.03444,TT084,10,1,1
1206122119,FWS.SLC.20120612.BOXCR.01.20120612.211959.239916217,3,56,100,20.5555555556,11,6.7056,21.1,8,4,,,,23.495324707,5.2240874743,3.51029,38.46028,-112.03444,TT084,,,
1206132128,FWS.SLC.20120613.BOXCR.01.20120613.212821.857595311,3,56,15,21.94,8.5,4.4704,22.2,9,4,24.6,9.48,5.3376576,24.98,5.09,3.151632,38.46028,-112.03444,TT084,2,1,1
1206151419,FWS.SLC.20120615.BOXCR.01.20120615.141933.811264366,3,56,94,21.1111111111,14,6.7056,19.4,15,4,,,,24.018182373,11.4847794628,4.16649,38.46028,-112.03444,TT084,,,
1206171530,FWS.SLC.20120617.BOXCR.01.20120617.153051.090335452,3,56,54,22.7777777778,12,15.6464,22.8,8,6,,,,26.0339294434,4.7614791489,5.06998,38.46028,-112.03444,TT084,,,
